Question;Name
AgiteTesBras; Agite tes bras
FrotteTesBras; Frotte tes bras
FrotteTesCuisse; Frotte tes cuisses
MainsEnLAir; Mains en l'air
MainsSurLaTete; Mains sur la tête
MainsSurLesCuisses; Mains sur les cuisses
MainsSurLesEpaules; Mains sur les épaules
PaumeContrePaume; Paume contre paume
SauteEnGrenouille; Saute en grenouille
SerreTonDoigt; Serre ton doigt
SouffleDansTaMain; Souffle dans ta main
TireLaLangue; Tire la langue
